codes,boardtype
002004.SZ,中小板
002005.SZ,中小板
002006.SZ,中小板
002007.SZ,中小板
002008.SZ,中小板
002009.SZ,中小板
002010.SZ,中小板
002011.SZ,中小板
002012.SZ,中小板
002013.SZ,中小板
002014.SZ,中小板
002015.SZ,中小板
002016.SZ,中小板
002017.SZ,中小板
002019.SZ,中小板
002020.SZ,中小板
002021.SZ,中小板
002022.SZ,中小板
002023.SZ,中小板
002024.SZ,中小板
002025.SZ,中小板
002026.SZ,中小板
002027.SZ,中小板
002028.SZ,中小板
002029.SZ,中小板
002030.SZ,中小板
002031.SZ,中小板
002032.SZ,中小板
002033.SZ,中小板
002034.SZ,中小板
002035.SZ,中小板
002036.SZ,中小板
002037.SZ,中小板
002038.SZ,中小板
002039.SZ,中小板
002040.SZ,中小板
002041.SZ,中小板
002042.SZ,中小板
002043.SZ,中小板
002044.SZ,中小板
002045.SZ,中小板
002046.SZ,中小板
002047.SZ,中小板
002048.SZ,中小板
002049.SZ,中小板
002050.SZ,中小板
002051.SZ,中小板
002052.SZ,中小板
002053.SZ,中小板
002054.SZ,中小板
002055.SZ,中小板
002056.SZ,中小板
002057.SZ,中小板
002058.SZ,中小板
002059.SZ,中小板
002060.SZ,中小板
002061.SZ,中小板
002062.SZ,中小板
002063.SZ,中小板
002064.SZ,中小板
002065.SZ,中小板
002066.SZ,中小板
002067.SZ,中小板
002068.SZ,中小板
002069.SZ,中小板
002071.SZ,中小板
002072.SZ,中小板
002073.SZ,中小板
002074.SZ,中小板
002075.SZ,中小板
002076.SZ,中小板
002077.SZ,中小板
002078.SZ,中小板
002079.SZ,中小板
002080.SZ,中小板
002081.SZ,中小板
002082.SZ,中小板
002083.SZ,中小板
002084.SZ,中小板
002085.SZ,中小板
002086.SZ,中小板
002087.SZ,中小板
002088.SZ,中小板
002089.SZ,中小板
002090.SZ,中小板
002091.SZ,中小板
002092.SZ,中小板
002093.SZ,中小板
002094.SZ,中小板
002095.SZ,中小板
002096.SZ,中小板
002097.SZ,中小板
002098.SZ,中小板
002099.SZ,中小板
002100.SZ,中小板
002101.SZ,中小板
002102.SZ,中小板
002103.SZ,中小板
002104.SZ,中小板
002105.SZ,中小板
002106.SZ,中小板
002107.SZ,中小板
002108.SZ,中小板
002109.SZ,中小板
002110.SZ,中小板
002111.SZ,中小板
002112.SZ,中小板
002113.SZ,中小板
002114.SZ,中小板
002115.SZ,中小板
002116.SZ,中小板
002117.SZ,中小板
002118.SZ,中小板
002119.SZ,中小板
002120.SZ,中小板
002121.SZ,中小板
002122.SZ,中小板
002123.SZ,中小板
002124.SZ,中小板
002125.SZ,中小板
002126.SZ,中小板
002127.SZ,中小板
002128.SZ,中小板
002129.SZ,中小板
002130.SZ,中小板
002131.SZ,中小板
002132.SZ,中小板
002133.SZ,中小板
002134.SZ,中小板
002135.SZ,中小板
002136.SZ,中小板
002137.SZ,中小板
002138.SZ,中小板
002139.SZ,中小板
002140.SZ,中小板
002141.SZ,中小板
002142.SZ,中小板
002144.SZ,中小板
002145.SZ,中小板
002146.SZ,中小板
002147.SZ,中小板
002148.SZ,中小板
002149.SZ,中小板
002150.SZ,中小板
002151.SZ,中小板
002152.SZ,中小板
002153.SZ,中小板
002154.SZ,中小板
002155.SZ,中小板
002156.SZ,中小板
002157.SZ,中小板
002158.SZ,中小板
002159.SZ,中小板
002160.SZ,中小板
002161.SZ,中小板
002162.SZ,中小板
002163.SZ,中小板
002164.SZ,中小板
002165.SZ,中小板
002166.SZ,中小板
002167.SZ,中小板
002168.SZ,中小板
002169.SZ,中小板
002170.SZ,中小板
002171.SZ,中小板
002172.SZ,中小板
002173.SZ,中小板
002174.SZ,中小板
002175.SZ,中小板
002176.SZ,中小板
002177.SZ,中小板
002178.SZ,中小板
002179.SZ,中小板
002180.SZ,中小板
002181.SZ,中小板
002182.SZ,中小板
002183.SZ,中小板
002184.SZ,中小板
002185.SZ,中小板
002186.SZ,中小板
002187.SZ,中小板
002188.SZ,中小板
002189.SZ,中小板
002190.SZ,中小板
002191.SZ,中小板
002192.SZ,中小板
002193.SZ,中小板
002194.SZ,中小板
002195.SZ,中小板
002196.SZ,中小板
002197.SZ,中小板
002198.SZ,中小板
002199.SZ,中小板
002200.SZ,中小板
002201.SZ,中小板
002202.SZ,中小板
002203.SZ,中小板
002204.SZ,中小板
002205.SZ,中小板
002206.SZ,中小板
002207.SZ,中小板
002208.SZ,中小板
002209.SZ,中小板
002210.SZ,中小板
002211.SZ,中小板
002212.SZ,中小板
002213.SZ,中小板
002214.SZ,中小板
002215.SZ,中小板
002216.SZ,中小板
002217.SZ,中小板
002218.SZ,中小板
002219.SZ,中小板
002221.SZ,中小板
002222.SZ,中小板
002223.SZ,中小板
002224.SZ,中小板
002225.SZ,中小板
002226.SZ,中小板
002227.SZ,中小板
002228.SZ,中小板
002229.SZ,中小板
002230.SZ,中小板
002231.SZ,中小板
002232.SZ,中小板
002233.SZ,中小板
002234.SZ,中小板
002235.SZ,中小板
002236.SZ,中小板
002237.SZ,中小板
002238.SZ,中小板
002239.SZ,中小板
002240.SZ,中小板
002241.SZ,中小板
002242.SZ,中小板
002243.SZ,中小板
002244.SZ,中小板
002245.SZ,中小板
002246.SZ,中小板
002247.SZ,中小板
002248.SZ,中小板
002249.SZ,中小板
002250.SZ,中小板
002251.SZ,中小板
002252.SZ,中小板
002253.SZ,中小板
002254.SZ,中小板
002255.SZ,中小板
002256.SZ,中小板
002258.SZ,中小板
002259.SZ,中小板
002260.SZ,中小板
002261.SZ,中小板
002262.SZ,中小板
002263.SZ,中小板
002264.SZ,中小板
002265.SZ,中小板
002266.SZ,中小板
002267.SZ,中小板
002268.SZ,中小板
002269.SZ,中小板
002270.SZ,中小板
002271.SZ,中小板
002272.SZ,中小板
002273.SZ,中小板
002274.SZ,中小板
002275.SZ,中小板
002276.SZ,中小板
002277.SZ,中小板
002278.SZ,中小板
002279.SZ,中小板
002280.SZ,中小板
002281.SZ,中小板
002282.SZ,中小板
002283.SZ,中小板
002284.SZ,中小板
002285.SZ,中小板
002286.SZ,中小板
002287.SZ,中小板
002288.SZ,中小板
002289.SZ,中小板
002290.SZ,中小板
002291.SZ,中小板
002292.SZ,中小板
002293.SZ,中小板
002294.SZ,中小板
002295.SZ,中小板
002296.SZ,中小板
002297.SZ,中小板
002298.SZ,中小板
002299.SZ,中小板
002300.SZ,中小板
002301.SZ,中小板
002302.SZ,中小板
002303.SZ,中小板
002304.SZ,中小板
002305.SZ,中小板
002306.SZ,中小板
002307.SZ,中小板
002308.SZ,中小板
002309.SZ,中小板
002310.SZ,中小板
002311.SZ,中小板
002312.SZ,中小板
002313.SZ,中小板
002314.SZ,中小板
002315.SZ,中小板
002316.SZ,中小板
002317.SZ,中小板
002318.SZ,中小板
002319.SZ,中小板
002320.SZ,中小板
002321.SZ,中小板
002322.SZ,中小板
002323.SZ,中小板
002324.SZ,中小板
002325.SZ,中小板
002326.SZ,中小板
002327.SZ,中小板
002328.SZ,中小板
002329.SZ,中小板
002330.SZ,中小板
002331.SZ,中小板
002332.SZ,中小板
002333.SZ,中小板
002334.SZ,中小板
002335.SZ,中小板
002336.SZ,中小板
002337.SZ,中小板
002338.SZ,中小板
002339.SZ,中小板
002340.SZ,中小板
002341.SZ,中小板
002342.SZ,中小板
002343.SZ,中小板
002344.SZ,中小板
002345.SZ,中小板
002346.SZ,中小板
002347.SZ,中小板
002348.SZ,中小板
002349.SZ,中小板
002350.SZ,中小板
002351.SZ,中小板
002352.SZ,中小板
002353.SZ,中小板
002354.SZ,中小板
002355.SZ,中小板
002356.SZ,中小板
002357.SZ,中小板
002358.SZ,中小板
002359.SZ,中小板
002360.SZ,中小板
002361.SZ,中小板
002362.SZ,中小板
002363.SZ,中小板
002364.SZ,中小板
002365.SZ,中小板
002366.SZ,中小板
002367.SZ,中小板
002368.SZ,中小板
002369.SZ,中小板
002370.SZ,中小板
002371.SZ,中小板
002372.SZ,中小板
002373.SZ,中小板
002374.SZ,中小板
002375.SZ,中小板
002376.SZ,中小板
002377.SZ,中小板
002378.SZ,中小板
002379.SZ,中小板
002380.SZ,中小板
002381.SZ,中小板
002382.SZ,中小板
002383.SZ,中小板
002384.SZ,中小板
002385.SZ,中小板
002386.SZ,中小板
002387.SZ,中小板
002388.SZ,中小板
002389.SZ,中小板
002390.SZ,中小板
002391.SZ,中小板
002392.SZ,中小板
002393.SZ,中小板
002394.SZ,中小板
002395.SZ,中小板
002396.SZ,中小板
002397.SZ,中小板
002398.SZ,中小板
002399.SZ,中小板
002400.SZ,中小板
002401.SZ,中小板
002402.SZ,中小板
002403.SZ,中小板
002404.SZ,中小板
002405.SZ,中小板
002406.SZ,中小板
002407.SZ,中小板
002408.SZ,中小板
002409.SZ,中小板
002410.SZ,中小板
002411.SZ,中小板
002412.SZ,中小板
002413.SZ,中小板
002414.SZ,中小板
002415.SZ,中小板
002416.SZ,中小板
002417.SZ,中小板
002418.SZ,中小板
002419.SZ,中小板
002420.SZ,中小板
002421.SZ,中小板
002422.SZ,中小板
002423.SZ,中小板
002424.SZ,中小板
002425.SZ,中小板
002426.SZ,中小板
002427.SZ,中小板
002428.SZ,中小板
002429.SZ,中小板
002430.SZ,中小板
002431.SZ,中小板
002432.SZ,中小板
002433.SZ,中小板
002434.SZ,中小板
002435.SZ,中小板
002436.SZ,中小板
002437.SZ,中小板
002438.SZ,中小板
002439.SZ,中小板
002440.SZ,中小板
002441.SZ,中小板
002442.SZ,中小板
002443.SZ,中小板
002444.SZ,中小板
002445.SZ,中小板
002446.SZ,中小板
002447.SZ,中小板
002448.SZ,中小板
002449.SZ,中小板
002450.SZ,中小板
002451.SZ,中小板
002452.SZ,中小板
002453.SZ,中小板
002454.SZ,中小板
002455.SZ,中小板
002456.SZ,中小板
002457.SZ,中小板
002458.SZ,中小板
002459.SZ,中小板
002460.SZ,中小板
002461.SZ,中小板
002462.SZ,中小板
002463.SZ,中小板
002464.SZ,中小板
002465.SZ,中小板
002466.SZ,中小板
002467.SZ,中小板
002468.SZ,中小板
002469.SZ,中小板
002470.SZ,中小板
002471.SZ,中小板
002472.SZ,中小板
002473.SZ,中小板
002474.SZ,中小板
002475.SZ,中小板
002476.SZ,中小板
002478.SZ,中小板
002479.SZ,中小板
002480.SZ,中小板
002481.SZ,中小板
002482.SZ,中小板
002483.SZ,中小板
