WindCodes,IPO_DATE,MKT
000860.SZ,1998/11/4,主板
000861.SZ,1998/10/28,主板
000862.SZ,1998/9/15,主板
000863.SZ,1997/9/25,主板
000868.SZ,1997/7/25,主板
000869.SZ,2000/10/26,主板
000875.SZ,2002/9/26,主板
000876.SZ,1998/3/11,主板
000877.SZ,1999/1/7,主板
000878.SZ,1998/6/2,主板
000880.SZ,1998/4/2,主板
000881.SZ,1998/9/2,主板
000882.SZ,1998/6/16,主板
000883.SZ,1998/5/19,主板
000885.SZ,1999/3/19,主板
000886.SZ,1998/1/23,主板
000887.SZ,1998/12/3,主板
000888.SZ,1997/10/21,主板
000889.SZ,1997/12/18,主板
000890.SZ,1999/1/19,主板
000892.SZ,1999/1/15,主板
000893.SZ,1998/12/24,主板
000895.SZ,1998/12/10,主板
000897.SZ,1999/4/22,主板
000898.SZ,1997/12/25,主板
000899.SZ,1997/11/26,主板
000900.SZ,1999/1/28,主板
000901.SZ,1999/4/1,主板
000902.SZ,1999/4/8,主板
000903.SZ,1999/4/15,主板
000905.SZ,1999/4/29,主板
000906.SZ,1999/7/7,主板
000908.SZ,1999/2/3,主板
000909.SZ,1999/5/7,主板
000910.SZ,1999/6/30,主板
000911.SZ,1999/5/27,主板
000912.SZ,1999/6/3,主板
000913.SZ,1999/5/14,主板
000915.SZ,1999/6/9,主板
000917.SZ,1999/3/25,主板
000918.SZ,1999/7/20,主板
000919.SZ,1999/11/18,主板
000920.SZ,1999/6/16,主板
000921.SZ,1999/7/13,主板
000922.SZ,1999/6/18,主板
000923.SZ,1999/7/14,主板
000925.SZ,1999/6/11,主板
000926.SZ,1999/6/18,主板
000927.SZ,1999/7/27,主板
000928.SZ,1999/3/12,主板
000929.SZ,1999/6/23,主板
000930.SZ,1999/7/12,主板
000931.SZ,1999/7/12,主板
000932.SZ,1999/8/3,主板
000933.SZ,1999/8/31,主板
000935.SZ,1999/8/24,主板
000936.SZ,1999/8/10,主板
000937.SZ,1999/9/9,主板
000938.SZ,1999/11/4,主板
000948.SZ,1999/10/14,主板
000949.SZ,1999/10/21,主板
000950.SZ,1999/9/16,主板
000951.SZ,1999/11/25,主板
000952.SZ,1999/11/12,主板
000953.SZ,1999/12/2,主板
000955.SZ,1999/12/9,主板
000957.SZ,2000/1/13,主板
000958.SZ,1999/12/23,主板
000959.SZ,1999/12/16,主板
000960.SZ,2000/2/21,主板
000961.SZ,2000/3/1,主板
000962.SZ,2000/1/20,主板
000963.SZ,2000/1/27,主板
000965.SZ,2000/4/6,主板
000966.SZ,2000/3/16,主板
000967.SZ,2000/3/30,主板
000968.SZ,2000/6/22,主板
000969.SZ,2000/5/29,主板
000970.SZ,2000/4/20,主板
000971.SZ,2000/4/27,主板
000972.SZ,2000/9/26,主板
000973.SZ,2000/5/25,主板
000975.SZ,2000/6/8,主板
000976.SZ,2000/6/1,主板
000977.SZ,2000/6/8,主板
000978.SZ,2000/5/18,主板
000980.SZ,2000/6/16,主板
000981.SZ,2000/6/22,主板
000982.SZ,2000/7/6,主板
000983.SZ,2000/7/26,主板
000985.SZ,2000/7/26,主板
